城市,年度,gap,gap_to_gdp
兰州,2007,36.669999999999995,0.05004367050603198
兰州,2008,48.8,0.05766413007515243
兰州,2009,62.79,0.06780777537796977
兰州,2010,74.17,0.06740276263177027
兰州,2011,88.99,0.06543238016808453
兰州,2012,98.86999999999999,0.06322419746770687
兰州,2013,117.84,0.06634089220167992
兰州,2014,127.77000000000001,0.06385498815556688
兰州,2015,158.81,0.0757684912618858
兰州,2016,208.68000000000004,0.092163781947947
兰州,2017,195.16000000000003,0.07733580605023103
兰州,2018,212.32,0.07768922844994768
兰州,2019,223.43000000000004,0.07875572788156504
兰州,2020,239.11,0.08282299965361968
兰州,2021,207.85999999999996,0.06432725010754217
兰州,2022,277.82000000000005,0.08309256766861076
兰州,2023,247.59,0.07100372813306567
兰州,2024,295.73,0.07902465094528693
北京,2006,179.68999999999983,0.020848368121221948
北京,2007,156.8599999999999,0.01461828077238499
北京,2008,121.97000000000003,0.0100241625299977
北京,2009,292.55999999999995,0.021938105986187447
北京,2010,363.3900000000003,0.023565842206975288
北京,2011,238.94999999999982,0.01353571286954846
北京,2012,370.3800000000001,0.0189275511924899
北京,2013,512.5499999999997,0.023569851926791122
北京,2014,497.5100000000002,0.021101049729615108
北京,2015,1013.8400000000001,0.03894277121160325
北京,2016,1325.5100000000002,0.04660937384620254
北京,2017,1393.7399999999998,0.04449161875636453
北京,2018,1685.5100000000002,0.04793637340947744
北京,2019,1591.0899999999992,0.04212910742182326
北京,2020,1632.29,0.042393178819642836
北京,2021,1272.8099999999995,0.028698757855005662
北京,2022,1754.79,0.03880355752901217
北京,2023,1790.1499999999996,0.03780380413779704
北京,2024,2023.8099999999995,0.040744953714702166
南京,2006,16.019999999999982,0.005775512117038835
南京,2007,12.75,0.003882779643880587
南京,2008,18.110000000000014,0.004797350993377487
南京,2009,26.75999999999999,0.006326241134751771
南京,2010,23.379999999999995,0.004556883076383339
南京,2011,31.210000000000036,0.005078496205365866
南京,2012,36.639999999999986,0.0050877582759386785
南京,2013,19.600000000000023,0.002446397679417061
南京,2014,17.710000000000036,0.002007765779553897
南京,2015,25.539999999999964,0.0026273638816678062
南京,2016,31.24000000000001,0.0029743826061456617
南京,2017,82.17999999999984,0.0070148782340739586
南京,2018,62.700000000000045,0.004890643037658735
南京,2019,78.03999999999996,0.0055619699237402865
南京,2020,116.91999999999985,0.007890403563233894
南京,2021,88.21000000000004,0.005393127904133042
南京,2022,270.48,0.015997303027883502
南京,2023,218.72000000000003,0.0125549624016991
南京,2024,109.24000000000001,0.005904606338857596
南宁,2006,36.46,0.0419008216974085
南宁,2007,47.849999999999994,0.04476104058895613
南宁,2008,-25.089999999999975,-0.019062307686463387
南宁,2009,83.09000000000002,0.054485245901639355
南宁,2010,105.17999999999998,0.0584235960673221
南宁,2011,116.02000000000001,0.05246450212535046
南宁,2012,146.79,0.058640939597315436
南宁,2013,162.14999999999998,0.057837591045606616
南宁,2014,190.92999999999995,0.06064542769113488
南宁,2015,229.67000000000002,0.06735012858898153
南宁,2016,274.19,0.07403877051194466
南宁,2017,314.22,0.07628865478788881
南宁,2018,339.03000000000003,0.08419110434551555
南宁,2019,418.27000000000004,0.092804526292434
南宁,2020,447.61,0.09471223021582734
南宁,2021,386.0,0.0753767862931415
南宁,2022,446.24999999999994,0.0855155365201644
南宁,2023,415.6,0.07599195465350156
南宁,2024,415.83,0.0693586373462144
南昌,2006,25.260000000000005,0.021336261508573363
南昌,2007,29.64,0.021325428631042743
南昌,2008,46.01999999999998,0.027721555587682512
南昌,2009,65.87,0.03583786724700762
南昌,2010,85.56,0.038889141402663516
南昌,2011,112.34,0.04177963233626022
南昌,2012,105.48999999999998,0.035157473754374266
南昌,2013,127.45999999999998,0.038207090463814763
南昌,2014,130.95000000000005,0.03570104363188258
南昌,2015,153.83999999999997,0.03845990385024037
南昌,2016,181.07999999999998,0.041579888817195904
南昌,2017,236.04000000000002,0.04717790049948134
南昌,2018,290.65999999999997,0.05510486911977431
南昌,2019,357.11,0.06381522516082917
南昌,2020,354.30999999999995,0.06166202575704837
南昌,2021,385.18,0.05791718855489713
南昌,2022,481.35999999999996,0.06682307211772055
南昌,2023,425.36999999999995,0.05897268820185775
南昌,2024,413.86,0.053056457578294365
厦门,2006,22.960000000000008,0.019657197650725166
厦门,2007,12.129999999999995,0.008740137622941959
厦门,2008,17.860000000000014,0.011448571172164468
厦门,2009,27.49000000000001,0.015826137017846867
厦门,2010,17.779999999999973,0.008630648997621462
厦门,2011,18.30000000000001,0.007206682130184976
厦门,2012,38.06999999999999,0.013513897270242445
厦门,2013,26.139999999999986,0.008660905982452881
厦门,2014,4.4500000000000455,0.0013593680313296287
厦门,2015,45.069999999999936,0.013003349653638294
厦门,2016,110.69999999999993,0.029252669603384518
厦门,2017,100.23000000000002,0.023032378151067404
厦门,2018,137.96000000000004,0.028793194487635173
厦门,2019,144.60000000000002,0.02412010008340284
厦门,2020,192.9699999999999,0.030227130325814523
厦门,2021,179.03999999999996,0.025453909572085993
厦门,2022,204.93000000000006,0.026264120184654984
厦门,2023,152.5100000000001,0.01890776097198117
厦门,2024,125.85000000000002,0.014652445392425904
合肥,2006,23.489999999999995,0.021876396960214567
合肥,2007,-2.2399999999999807,-0.001678392938761122
合肥,2008,0.1699999999999875,0.00010211191465845817
合肥,2009,64.96000000000001,0.03090390104662227
合肥,2010,58.29000000000002,0.021576103050044426
合肥,2011,136.38,0.037502062365946214
合肥,2012,182.60000000000002,0.04384890617870951
合肥,2013,192.26999999999998,0.0411456672608717
合肥,2014,198.45,0.038474438587273674
合肥,2015,201.12,0.035531873921208705
合肥,2016,245.0,0.0390476827989379
合肥,2017,309.44000000000005,0.04289764259820198
合肥,2018,292.41999999999996,0.03737995196161019
合肥,2019,376.68000000000006,0.040034009990434695
合肥,2020,401.44999999999993,0.03996117857853872
合肥,2021,379.5,0.03325213795037151
合肥,2022,470.93000000000006,0.03920137183574598
合肥,2023,481.7099999999999,0.03800773236547261
合肥,2024,626.05,0.04634767306623116
呼和浩特,2006,29.979999999999997,0.0333081503866323
呼和浩特,2007,42.550000000000004,0.03864212218357505
呼和浩特,2008,50.93000000000001,0.03868973009108382
呼和浩特,2009,58.36999999999999,0.03550486618004865
呼和浩特,2010,50.519999999999996,0.02707830840971217
呼和浩特,2011,104.23999999999998,0.04787646915632879
呼和浩特,2012,96.68,0.03905315883018259
呼和浩特,2013,112.81999999999996,0.04162500599544714
呼和浩特,2014,99.37000000000003,0.0343359651699176
呼和浩特,2015,113.24999999999997,0.03664431875541979
呼和浩特,2016,150.32000000000005,0.04736591683235706
呼和浩特,2017,201.54000000000002,0.07345501727581533
呼和浩特,2018,152.02,0.05235749956948511
呼和浩特,2019,214.8,0.07696166248656396
呼和浩特,2020,221.47,0.07906818993216708
呼和浩特,2021,191.83,0.06145580711404709
呼和浩特,2022,190.11,0.05710552401549969
呼和浩特,2023,354.91,0.09334823776959496
呼和浩特,2024,326.49,0.07949443400177256
哈尔滨,2006,76.39,0.036479026589242056
哈尔滨,2007,100.32999999999998,0.04117284963887064
哈尔滨,2008,137.26,0.047855964911669026
哈尔滨,2009,155.05,0.04883464566929134
哈尔滨,2010,214.83000000000004,0.05861824333542526
哈尔滨,2011,256.82,0.06053948550159234
哈尔滨,2012,288.86,0.06348292382752407
哈尔滨,2013,307.5,0.061290997697850326
哈尔滨,2014,316.56000000000006,0.05928012179615624
哈尔滨,2015,417.11,0.072525607654737
哈尔滨,2016,500.04999999999995,0.08195377941231904
哈尔滨,2017,590.37,0.09289777421106049
哈尔滨,2018,577.8,0.0917072984915435
哈尔滨,2019,730.23,0.1391179272242332
哈尔滨,2020,822.6800000000001,0.158695987654321
哈尔滨,2021,626.27,0.11702350298785798
哈尔滨,2022,303.86190615835767,0.05534724434133397
哈尔滨,2023,767.6300000000001,0.13766678622668582
哈尔滨,2024,919.72,0.15287060383988246
大连,2006,70.38,0.027388730848708197
