地区,年度,房地产开发投资额(亿元),房地产施工面积(万平方米),商品房销售额(亿元),商品房销售面积(万平方米)
太原,2023,518.23,7723.63,532.78,532.78
太原,2024,507.68,6709.0,399.01,399.01
太原,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
宁波,2006,313.58,2750.73,609.31,609.31
宁波,2007,332.89,3014.33,804.43,804.43
宁波,2008,307.75,3105.35,448.38,448.38
宁波,2009,374.51,3104.34,815.18,815.18
宁波,2010,557.27,3820.7,693.56,693.56
宁波,2011,711.46,5209.81,526.53,526.53
宁波,2012,884.35,6080.51,590.22,590.22
宁波,2013,1123.14,6833.96,730.09,730.09
宁波,2014,1328.14,7422.16,726.44,726.44
宁波,2015,1228.84,6737.89,1007.21,1007.21
宁波,2016,1270.33,6565.28,1336.95,1336.95
宁波,2017,1374.47,6833.12,1543.64,1543.64
宁波,2018,1587.47,7472.48,1624.38,1624.38
宁波,2019,1703.59,8347.74,1714.64,1714.64
宁波,2020,1818.88,10575.61,1858.2,1858.2
宁波,2021,2075.59,10778.64,1606.23,1606.23
宁波,2022,2131.68,9660.77,1128.8,1128.8
宁波,2023,2218.61,9569.29,901.56,901.56
宁波,2024,1873.2,6687.44,796.27,796.27
宁波,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
广州,2006,556.79,4847.76,1316.88,1316.88
广州,2007,703.8,5184.85,1351.33,1351.33
广州,2008,763.54,5543.16,1024.96,1024.96
广州,2009,817.34,5551.91,1375.42,1375.42
广州,2010,983.66,6464.12,1405.13,1405.13
广州,2011,1305.56,7692.59,1194.08,1194.08
广州,2012,1370.45,7845.62,1333.13,1333.13
广州,2013,1572.43,8159.31,1699.98,1699.98
广州,2014,1816.15,9369.93,1540.02,1540.02
广州,2015,2137.59,9345.57,1653.07,1653.07
广州,2016,2540.85,10061.92,1949.1,1949.1
广州,2017,2702.89,10658.49,1757.75,1757.75
广州,2018,2701.93,10999.01,1550.28,1550.28
广州,2019,3102.26,11985.91,1464.64,1464.64
广州,2020,3293.95,11878.29,1539.4,1539.4
广州,2021,3626.44,12750.78,1736.31,1736.31
广州,2022,3431.9,12946.25,1374.07,1374.07
广州,2023,3311.45,12676.79,1404.49,1404.49
广州,2024,3066.03,12589.25,1159.25,1159.25
广州,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
成都,2006,613.64,4857.74,1590.56,1590.56
成都,2007,905.28,6472.53,2225.5,2225.5
成都,2008,923.51,7555.15,1459.5,1459.5
成都,2009,945.14,8405.64,2708.76,2708.76
成都,2010,1278.34,9778.9,2559.28,2559.28
成都,2011,1588.22,12620.39,2676.04,2676.04
成都,2012,1889.23,14150.98,2844.09,2844.09
成都,2013,2111.25,15239.3,2950.13,2950.13
成都,2014,2215.53,17202.89,2951.3,2951.3
成都,2015,2435.25,18334.84,2997.43,2997.43
成都,2016,2638.89,19880.94,3928.77,3928.77
成都,2017,2492.65,19396.65,3925.91,3925.91
成都,2018,2273.16,19514.56,3682.52,3682.52
成都,2019,2611.71,20619.9,3543.28,3543.28
成都,2020,2847.64,19122.23,3680.3,3680.3
成都,2021,3142.38,19544.1,3644.11,3644.11
成都,2022,3271.72,19338.18,2549.4,2549.4
成都,2023,2449.59,17764.84,2204.57,2204.57
成都,2024,2415.38,16653.38,1968.14,1968.14
成都,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2006,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2007,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2008,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2009,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2010,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2011,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2012,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2013,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2014,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2015,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2016,44.54,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2017,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2018,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2019,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2020,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2021,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
拉萨,2022,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
