地区,年份,指标,值
石家庄,2011,房地产开发投资额,789.14
太原,2011,房地产开发投资额,310.55
呼和浩特,2011,房地产开发投资额,330.03
沈阳,2011,房地产开发投资额,1684.72
大连,2011,房地产开发投资额,1107.46
长春,2011,房地产开发投资额,666.42
哈尔滨,2011,房地产开发投资额,570.46
上海,2011,房地产开发投资额,2253.83
南京,2011,房地产开发投资额,871.76
杭州,2011,房地产开发投资额,1201.51
宁波,2011,房地产开发投资额,711.46
合肥,2011,房地产开发投资额,889.6
福州,2011,房地产开发投资额,963.41
厦门,2011,房地产开发投资额,438.12
南昌,2011,房地产开发投资额,279.89
济南,2011,房地产开发投资额,528.92
青岛,2011,房地产开发投资额,785.82
郑州,2011,房地产开发投资额,926.31
武汉,2011,房地产开发投资额,1282.25
长沙,2011,房地产开发投资额,926.01
广州,2011,房地产开发投资额,1305.56
深圳,2011,房地产开发投资额,514.74
南宁,2011,房地产开发投资额,392.42
海口,2011,房地产开发投资额,144.64
重庆,2011,房地产开发投资额,2015.1
成都,2011,房地产开发投资额,1588.22
贵阳,2011,房地产开发投资额,460.49
昆明,2011,房地产开发投资额,633.03
西安,2011,房地产开发投资额,996.12
兰州,2011,房地产开发投资额,154.84
西宁,2011,房地产开发投资额,118.55
银川,2011,房地产开发投资额,214.78
乌鲁木齐,2011,房地产开发投资额,194.29
北京,2010,房地产开发投资额,2901.07
天津,2010,房地产开发投资额,866.64
石家庄,2010,房地产开发投资额,538.0
太原,2010,房地产开发投资额,241.09
呼和浩特,2010,房地产开发投资额,254.35
沈阳,2010,房地产开发投资额,1450.08
大连,2010,房地产开发投资额,768.02
长春,2010,房地产开发投资额,542.76
哈尔滨,2010,房地产开发投资额,360.74
上海,2010,房地产开发投资额,1980.68
南京,2010,房地产开发投资额,748.35
杭州,2010,房地产开发投资额,956.2
宁波,2010,房地产开发投资额,557.27
合肥,2010,房地产开发投资额,819.03
福州,2010,房地产开发投资额,670.69
厦门,2010,房地产开发投资额,396.13
南昌,2010,房地产开发投资额,230.15
济南,2010,房地产开发投资额,484.5
青岛,2010,房地产开发投资额,602.44
郑州,2010,房地产开发投资额,775.16
武汉,2010,房地产开发投资额,1017.4
长沙,2010,房地产开发投资额,684.1
广州,2010,房地产开发投资额,983.66
深圳,2010,房地产开发投资额,458.47
南宁,2010,房地产开发投资额,322.82
海口,2010,房地产开发投资额,103.79
重庆,2010,房地产开发投资额,1620.26
成都,2010,房地产开发投资额,1278.34
贵阳,2010,房地产开发投资额,310.47
昆明,2010,房地产开发投资额,437.14
西安,2010,房地产开发投资额,842.34
兰州,2010,房地产开发投资额,118.28
西宁,2010,房地产开发投资额,95.4
银川,2010,房地产开发投资额,172.13
乌鲁木齐,2010,房地产开发投资额,143.03
北京,2009,房地产开发投资额,2337.71
天津,2009,房地产开发投资额,735.18
石家庄,2009,房地产开发投资额,378.22
太原,2009,房地产开发投资额,165.01
呼和浩特,2009,房地产开发投资额,178.99
沈阳,2009,房地产开发投资额,1188.7
大连,2009,房地产开发投资额,578.94
长春,2009,房地产开发投资额,443.93
哈尔滨,2009,房地产开发投资额,279.23
上海,2009,房地产开发投资额,1462.07
南京,2009,房地产开发投资额,595.68
杭州,2009,房地产开发投资额,704.68
宁波,2009,房地产开发投资额,374.51
合肥,2009,房地产开发投资额,670.36
福州,2009,房地产开发投资额,361.8
厦门,2009,房地产开发投资额,267.42
南昌,2009,房地产开发投资额,198.25
济南,2009,房地产开发投资额,332.56
青岛,2009,房地产开发投资额,459.48
郑州,2009,房地产开发投资额,512.32
武汉,2009,房地产开发投资额,778.59
长沙,2009,房地产开发投资额,497.35
广州,2009,房地产开发投资额,817.34
深圳,2009,房地产开发投资额,437.46
南宁,2009,房地产开发投资额,226.73
海口,2009,房地产开发投资额,78.44
重庆,2009,房地产开发投资额,1238.91
成都,2009,房地产开发投资额,945.14
贵阳,2009,房地产开发投资额,210.32
昆明,2009,房地产开发投资额,382.15
西安,2009,房地产开发投资额,694.23
兰州,2009,房地产开发投资额,99.08
西宁,2009,房地产开发投资额,63.84
银川,2009,房地产开发投资额,99.96
乌鲁木齐,2009,房地产开发投资额,113.3
北京,2008,房地产开发投资额,1908.74
天津,2008,房地产开发投资额,653.72
石家庄,2008,房地产开发投资额,280.4
太原,2008,房地产开发投资额,121.17
呼和浩特,2008,房地产开发投资额,177.07
沈阳,2008,房地产开发投资额,1010.91
大连,2008,房地产开发投资额,495.82
长春,2008,房地产开发投资额,352.89
哈尔滨,2008,房地产开发投资额,215.76
上海,2008,房地产开发投资额,1435.73
南京,2008,房地产开发投资额,508.17
杭州,2008,房地产开发投资额,615.41
宁波,2008,房地产开发投资额,307.75
合肥,2008,房地产开发投资额,567.16
福州,2008,房地产开发投资额,313.61
厦门,2008,房地产开发投资额,327.02
南昌,2008,房地产开发投资额,163.3
济南,2008,房地产开发投资额,274.12
青岛,2008,房地产开发投资额,380.57
郑州,2008,房地产开发投资额,434.96
武汉,2008,房地产开发投资额,560.36
长沙,2008,房地产开发投资额,493.27
广州,2008,房地产开发投资额,763.54
深圳,2008,房地产开发投资额,440.49
南宁,2008,房地产开发投资额,202.46
海口,2008,房地产开发投资额,76.17
重庆,2008,房地产开发投资额,991.0
成都,2008,房地产开发投资额,923.51
贵阳,2008,房地产开发投资额,170.11
昆明,2008,房地产开发投资额,274.2
西安,2008,房地产开发投资额,545.71
兰州,2008,房地产开发投资额,92.43
西宁,2008,房地产开发投资额,45.39
银川,2008,房地产开发投资额,78.62
乌鲁木齐,2008,房地产开发投资额,99.96
北京,2007,房地产开发投资额,1995.82
天津,2007,房地产开发投资额,505.3
石家庄,2007,房地产开发投资额,197.54
太原,2007,房地产开发投资额,94.82
呼和浩特,2007,房地产开发投资额,129.83
沈阳,2007,房地产开发投资额,730.36
大连,2007,房地产开发投资额,407.83
长春,2007,房地产开发投资额,259.5
哈尔滨,2007,房地产开发投资额,187.42
上海,2007,房地产开发投资额,1307.53
南京,2007,房地产开发投资额,445.97
杭州,2007,房地产开发投资额,518.79
宁波,2007,房地产开发投资额,332.89
合肥,2007,房地产开发投资额,387.53
福州,2007,房地产开发投资额,376.47
厦门,2007,房地产开发投资额,345.74
南昌,2007,房地产开发投资额,125.6
济南,2007,房地产开发投资额,193.21
青岛,2007,房地产开发投资额,322.35
郑州,2007,房地产开发投资额,298.76
武汉,2007,房地产开发投资额,459.75
长沙,2007,房地产开发投资额,407.05
广州,2007,房地产开发投资额,703.8
深圳,2007,房地产开发投资额,461.04
南宁,2007,房地产开发投资额,187.46
海口,2007,房地产开发投资额,59.97
重庆,2007,房地产开发投资额,849.9
成都,2007,房地产开发投资额,905.28
贵阳,2007,房地产开发投资额,135.44
昆明,2007,房地产开发投资额,228.02
西安,2007,房地产开发投资额,387.33
兰州,2007,房地产开发投资额,74.45
西宁,2007,房地产开发投资额,31.6
银川,2007,房地产开发投资额,62.72
乌鲁木齐,2007,房地产开发投资额,81.8
北京,2006,房地产开发投资额,1719.87
天津,2006,房地产开发投资额,402.32
石家庄,2006,房地产开发投资额,132.15
太原,2006,房地产开发投资额,80.32
呼和浩特,2006,房地产开发投资额,94.99
沈阳,2006,房地产开发投资额,538.29
大连,2006,房地产开发投资额,337.23
长春,2006,房地产开发投资额,171.84
哈尔滨,2006,房地产开发投资额,157.83
上海,2006,房地产开发投资额,1275.59
南京,2006,房地产开发投资额,351.17
杭州,2006,房地产开发投资额,442.65
宁波,2006,房地产开发投资额,313.58
合肥,2006,房地产开发投资额,281.81
福州,2006,房地产开发投资额,296.78
厦门,2006,房地产开发投资额,213.93
南昌,2006,房地产开发投资额,110.75
济南,2006,房地产开发投资额,160.05
青岛,2006,房地产开发投资额,268.36
郑州,2006,房地产开发投资额,229.89
武汉,2006,房地产开发投资额,366.15
长沙,2006,房地产开发投资额,303.86
广州,2006,房地产开发投资额,556.79
深圳,2006,房地产开发投资额,462.09
南宁,2006,房地产开发投资额,139.07
海口,2006,房地产开发投资额,50.47
重庆,2006,房地产开发投资额,629.67
成都,2006,房地产开发投资额,613.64
贵阳,2006,房地产开发投资额,107.69
昆明,2006,房地产开发投资额,188.93
西安,2006,房地产开发投资额,285.76
兰州,2006,房地产开发投资额,53.84
西宁,2006,房地产开发投资额,29.38
银川,2006,房地产开发投资额,57.68
乌鲁木齐,2006,房地产开发投资额,53.11
北京,2024,房地产施工面积,11309.53
天津,2024,房地产施工面积,7676.99
石家庄,2024,房地产施工面积,3427.73
太原,2024,房地产施工面积,6709.0
呼和浩特,2024,房地产施工面积,2319.75
沈阳,2024,房地产施工面积,4916.06
大连,2024,房地产施工面积,2894.95
长春,2024,房地产施工面积,6208.31
哈尔滨,2024,房地产施工面积,4450.94
上海,2024,房地产施工面积,16818.02
南京,2024,房地产施工面积,7180.39
杭州,2024,房地产施工面积,13399.9
宁波,2024,房地产施工面积,6687.44
合肥,2024,房地产施工面积,6490.97
福州,2024,房地产施工面积,4717.68
厦门,2024,房地产施工面积,3234.48
南昌,2024,房地产施工面积,3987.07
济南,2024,房地产施工面积,8042.65
